,image_id,file_name,text,person,bottle,cup,bowl,chair,couch,bed,dining table,tv,laptop,remote,cell phone,oven,sink,book,permuted_text
0,19131,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000019131.jpg,"1 cat, 1 handbag, 1 suitcase, 1 chair, 1 microwave",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1 chair
1,410380,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000410380.jpg,"1 person, 2 bottle, 1 wine glass, 1 knife, 1 bowl, 4 carrot",1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,"2 bottle, 1 bowl"
2,172232,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000172232.jpg,"1 bottle, 2 chair, 1 refrigerator",0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,"1 bottle, 2 chair"
3,239158,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000239158.jpg,"1 dog, 1 suitcase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 person
4,192862,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000192862.jpg,1 teddy bear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 person
5,120159,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000120159.jpg,"1 person, 10 sandwich, 7 donut, 1 chair, 2 keyboard, 1 microwave",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1 chair
6,85814,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000085814.jpg,"1 person, 1 couch, 2 remote",1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,"1 person, 1 couch, 2 remote"
7,8721,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000008721.jpg,"1 tv, 1 laptop, 1 mouse, 2 keyboard, 1 book",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,"1 tv, 1 laptop, 1 book"
8,256835,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000256835.jpg,"1 bench, 1 refrigerator",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,39589,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000039589.jpg,"1 cat, 2 donut, 3 book",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"1 person, 3 book"
10,352623,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000352623.jpg,"1 person, 1 toilet",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,246852,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000246852.jpg,"12 bottle, 3 cup, 6 bowl, 10 chair, 1 dining table, 2 oven, 1 sink, 3 book",0,12,3,6,10,0,0,1,0,0,0,0,2,1,3,"12 bottle, 3 cup, 6 bowl, 10 chair, 1 dining table, 2 oven, 1 sink, 3 book"
12,286554,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000286554.jpg,2 cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,432770,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000432770.jpg,"1 person, 1 bed",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"1 person, 1 bed"
14,483794,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000483794.jpg,"1 cup, 3 dining table, 1 laptop, 1 teddy bear",0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,"1 cup, 3 dining table, 1 laptop"
15,252177,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000252177.jpg,"1 bench, 6 chair, 1 clock",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6 chair
16,361282,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000361282.jpg,"1 bottle, 2 cup, 1 clock, 2 toothbrush",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,"1 person, 1 bottle, 2 cup"
17,491,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000000491.jpg,4 teddy bear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,460482,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000460482.jpg,"1 cat, 1 tv, 1 laptop, 2 cell phone",0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,"1 tv, 1 laptop, 2 cell phone"
19,231080,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000231080.jpg,"1 person, 1 toilet",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 person
20,92173,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000092173.jpg,"1 cat, 1 handbag, 1 cup, 1 chair, 1 laptop",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,"1 person, 1 cup, 1 chair, 1 laptop"
21,320180,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000320180.jpg,"1 person, 2 couch, 1 laptop",1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,"1 person, 2 couch, 1 laptop"
22,530869,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000530869.jpg,"1 person, 1 bench, 2 bowl, 2 potted plant, 1 sink",1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,"2 bowl, 1 sink"
23,494671,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000494671.jpg,"1 person, 1 bed",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1 bed
24,180696,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000180696.jpg,"1 person, 1 tie",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,529383,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000529383.jpg,"1 handbag, 2 laptop, 2 cell phone, 2 book",0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,"2 laptop, 2 cell phone, 2 book"
26,453601,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000453601.jpg,"1 potted plant, 1 microwave, 1 refrigerator",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,143847,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000143847.jpg,"1 dog, 1 bed",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"1 person, 1 bed"
28,451493,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000451493.jpg,"1 cat, 1 bowl",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1 bowl
29,478636,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000478636.jpg,"1 person, 1 car, 2 truck, 2 horse",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
