,image_id,file_name,text,person,bottle,cup,bowl,chair,couch,bed,dining table,tv,laptop,remote,cell phone,oven,sink,book,permuted_text
0,172232,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000172232.jpg,"1 bottle, 2 chair, 1 refrigerator",0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,"1 bottle, 2 chair"
1,532381,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000532381.jpg,1 dog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 person
2,581873,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000581873.jpg,1 dog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 person
3,48711,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000048711.jpg,"1 person, 1 potted plant, 1 tv, 1 remote, 1 clock, 2 vase",1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"1 tv, 1 remote"
4,313718,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000313718.jpg,"1 person, 2 car, 2 bus, 1 horse",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 person
5,244633,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000244633.jpg,"2 bottle, 1 cup, 1 chair, 1 laptop",0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,"2 bottle, 1 cup, 1 chair, 1 laptop"
6,253785,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000253785.jpg,"1 dog, 1 cup, 1 chair",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"1 cup, 1 chair"
7,178229,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000178229.jpg,"1 cat, 1 couch, 2 remote",0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,"1 person, 1 couch, 2 remote"
8,150512,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000150512.jpg,"1 person, 1 spoon, 1 bowl, 1 oven, 1 sink",1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,"1 bowl, 1 oven, 1 sink"
9,151609,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000151609.jpg,"1 cat, 1 tv, 1 book",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"1 tv, 1 book"
10,541109,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000541109.jpg,"1 cat, 1 umbrella, 3 book",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"1 person, 3 book"
11,58443,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000058443.jpg,"1 dog, 1 chair",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"1 person, 1 chair"
12,361282,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000361282.jpg,"1 bottle, 2 cup, 1 clock, 2 toothbrush",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,"1 person, 1 bottle, 2 cup"
13,256835,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000256835.jpg,"1 bench, 1 refrigerator",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 person
14,20046,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000020046.jpg,"1 person, 1 handbag, 2 chair, 1 potted plant, 1 bed, 1 laptop, 4 book",1,0,0,0,2,0,1,0,0,1,0,0,0,0,4,"1 person, 2 chair, 1 bed, 1 laptop, 4 book"
15,346702,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000346702.jpg,"1 microwave, 1 oven, 1 refrigerator",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1 oven
16,526962,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000526962.jpg,"1 cat, 1 banana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,473678,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000473678.jpg,"1 person, 1 dining table, 1 book, 1 scissors",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"1 person, 1 dining table, 1 book"
18,93201,/home/gkondas/diffusion/greg/allCoco/images/train2017/000000093201.jpg,1 dog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
