,Unnamed: 0,image_id,file_name,text,home or hotel,person,bottle,cup,bowl,chair,couch,bed,dining table,tv,laptop,remote,cell phone,oven,sink,book,permuted_text
0,51987,19131,images/real/000000019131.jpg,"1 cat, 1 handbag, 1 suitcase, 1 chair, 1 microwave",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1 chair
1,51556,410380,images/real/000000410380.jpg,"1 person, 2 bottle, 1 wine glass, 1 knife, 1 bowl, 4 carrot",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"1 person, 1 bottle, 1 bowl"
2,52474,172232,images/real/000000172232.jpg,"1 bottle, 2 chair, 1 refrigerator",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"1 bottle, 1 chair"
3,51685,239158,images/real/000000239158.jpg,"1 dog, 1 suitcase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,52533,192862,images/real/000000192862.jpg,1 teddy bear,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1 bottle
5,49745,120159,images/real/000000120159.jpg,"1 person, 10 sandwich, 7 donut, 1 chair, 2 keyboard, 1 microwave",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"1 person, 1 chair"
6,51167,85814,images/real/000000085814.jpg,"1 person, 1 couch, 2 remote",1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,"1 person, 1 couch, 1 remote"
7,52698,8721,images/real/000000008721.jpg,"1 tv, 1 laptop, 1 mouse, 2 keyboard, 1 book",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,"1 tv, 1 laptop, 1 book"
8,51997,256835,images/real/000000256835.jpg,"1 bench, 1 refrigerator",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,51010,39589,images/real/000000039589.jpg,"1 cat, 2 donut, 3 book",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1 book
10,53748,352623,images/real/000000352623.jpg,"1 person, 1 toilet",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 person
11,53961,246852,images/real/000000246852.jpg,"12 bottle, 3 cup, 6 bowl, 10 chair, 1 dining table, 2 oven, 1 sink, 3 book",0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,"1 cup, 1 bowl, 1 chair, 1 dining table, 1 oven, 1 sink, 1 book"
12,50259,286554,images/real/000000286554.jpg,2 cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,49996,432770,images/real/000000432770.jpg,"1 person, 1 bed",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"1 person, 1 bed"
14,51426,483794,images/real/000000483794.jpg,"1 cup, 3 dining table, 1 laptop, 1 teddy bear",0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,"1 cup, 1 dining table, 1 laptop"
15,53056,252177,images/real/000000252177.jpg,"1 bench, 6 chair, 1 clock",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1 chair
